p_date,ticker_code,EPS_Q_EST,REV_Q_EST,EPS_A_EST,REV_A_EST,EPS_Q_EST_FP,REV_Q_EST_FP,EPS_A_EST_FP,REV_A_EST_FP,EPS_LT,PRICE_LT,REV_Q_ACT,NI_Q_ACT,REV_A_ACT,NI_A_ACT,ACT_CLOSE_PRICE,ACT_OPEN_PRICE,ACT_HIGH_PRICE,ACT_LOW_PRICE,ACT_VOLUME
6/6/16,GOOGL,8.33186325,33059.70833,33.327453,132238.8333,0,0,0,0,17.60725,977.585366,22433.25,4869.5,89733,19478,730.06,738.5,738.5,728.29,1499.648
6/7/16,GOOGL,8.33186325,33059.70833,33.327453,132238.8333,0,0,0,0,17.60725,977.585366,22433.25,4869.5,89733,19478,731.09,733.27,736.71,730.8,1215.741
6/8/16,GOOGL,8.33186325,33059.70833,33.327453,132238.8333,0,0,0,0,17.60725,977.585366,22433.25,4869.5,89733,19478,742.93,739.5,743.81,735.765,1615.727
6/9/16,GOOGL,8.33186325,33059.70833,33.327453,132238.8333,0,0,0,0,17.60725,977.585366,22433.25,4869.5,89733,19478,742.52,737.07,743.93,736.5,958.963
6/10/16,GOOGL,8.33186325,33059.70833,33.327453,132238.8333,0,0,0,0,17.60725,977.585366,22433.25,4869.5,89733,19478,733.19,735.95,739.64,730.51,1452.456
6/13/16,GOOGL,8.33186325,33059.70833,33.327453,132238.8333,0,0,0,0,17.60725,977.585366,22433.25,4869.5,89733,19478,731.88,729.82,739,729.82,1167.736
6/14/16,GOOGL,8.33186325,33059.70833,33.327453,132238.8333,0,0,0,0,17.60725,977.585366,22433.25,4869.5,89733,19478,733.25,729.31,736,726.5,1329.176
6/15/16,GOOGL,8.33186325,33059.70833,33.327453,132238.8333,0,0,0,0,17.60725,977.585366,22433.25,4869.5,89733,19478,732.19,734.92,737.15,731.31,1161.701
6/16/16,GOOGL,8.33186325,33059.70833,33.327453,132238.8333,0,0,0,0,17.60725,977.585366,22433.25,4869.5,89733,19478,724.25,727.96,730.39,715.54,2250.083
6/17/16,GOOGL,8.33186325,33059.70833,33.327453,132238.8333,0,0,0,0,17.60725,977.585366,22433.25,4869.5,89733,19478,704.25,721.39,721.39,701.12,4113.085
6/20/16,GOOGL,8.33186325,33059.70833,33.327453,132238.8333,0,0,0,0,17.60725,977.585366,22433.25,4869.5,89733,19478,706.13,710.31,715.87,705.41,2282.725
6/21/16,GOOGL,8.33186325,33059.70833,33.327453,132238.8333,0,0,0,0,17.60725,977.585366,22433.25,4869.5,89733,19478,708.88,710.05,715.38,704.66,1515.918
6/22/16,GOOGL,8.33186325,33059.70833,33.327453,132238.8333,0,0,0,0,17.60725,977.585366,22433.25,4869.5,89733,19478,710.47,714.05,714.21,705.88,1452.884
6/23/16,GOOGL,8.33186325,33059.70833,33.327453,132238.8333,0,0,0,0,17.60725,977.585366,22433.25,4869.5,89733,19478,714.87,710.55,714.88,700.25,2125.028
